name,number,description,category
Astrid Collection,1313-1*,"Trendy and modern, the Astrid Collection adds flair to any contemporary bedroom. Bold solid hardwood arched legs support the platform bed, this collection exudes the attitude that defines today’s style. Available in espresso finish with black bi-cast vinyl insert headboard.",bedroom
Glamour Collection,1349-1*,The beauty of the Glamour Collection lies in the simple lines and style for your adult or youth bedroom. The panel headboard and footboard feature a metal grid pattern to give your bedroom suite an added touch of characteristic. Cherry veneers and select hardwoods in warm cherry finish with bold hardware accent give the Glamour Collection a desired look to your home decor.,bedroom
Morelle Collection,1356BK-1*,The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,bedroom
Morelle Collection,1356C-1*,The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,bedroom
Morelle Collection,1356W-1*,"",bedroom
Madaleine Collection,1385-1*,"The refined elegance of old world France is captured in this Madaleine Collection. Embellishments including turned posts, cabriole legs as well as intricate carvings, and overlays come in a warm cherry finish on select hardwoods and veneers. Furthering the mind’s journey to another time and place.",bedroom
Prenzo Collection,1390-1*,"European Elegance at its best. Flowing lines, detailed carvings, beautiful veneer treatments, and grand scale are some of the many design elements of our Prenzo Collection. The collection is inspired by the grand estates of the Tuscan region of Italy where a casual yet elegant lifestyle is best experienced. Carving is softened with a cherry finish on beautiful cherry and ash burl veneers, further accented with burnishing and light distressing. The Prenzo Collection will add an air of magnificence to your home while still allowing for today’s more casually refined lifestyle.",bedroom
Palace Collection,1394-1*,"The Palace Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset marble tops, the Palace Collection has it all. These many exquisite details married with a rich brown finish on cherry veneers with golden highlights combine to create an ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. Bring Europe home with the Palace Collection.",bedroom
Palace II Collection,1394N-1*,"The Palace II Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset bluestone marble tops, the Palace II Collection has it all. These many exquisite details married with a rich weathered white with light rub-through on cherry veneers combine to create an ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. The bonded leather, button-tufted, insert on the headboard is featured in an elegant pearl, providing a trendy take on the Old World feel of this collection.",bedroom
Inglewood Collection,1402-1*,"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed – swivel or rectangular stationary mirror.",bedroom
Inglewood Collection,1402LP-1*,"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed – swivel or rectangular stationary mirror.",bedroom
Inglewood Collection,1402SL-1*,"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed – swivel or rectangular stationary mirror.",bedroom
Inglewood Collection,1402W-1*,"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed – swivel or rectangular stationary mirror.",bedroom
Aris Collection,1422-1*,"Classic in design and bold in style, the Aris Collection makes for an inviting presence in your bedroom. Large bun feet serve to support the massive yet elegantly simple case pieces, while the warm brown cherry finish on selected hardwoods and veneers completes the overall look.",bedroom
Ridgewood Collection,1600-1*,"Dramatically designed for maximum eye-catching appeal, the rustic-contemporary Ridgewood Collection blends angles, planes and natural elements to achieve a beautiful composition of style. The solid poplar raised slats that grace every piece of this collection are interrupted by the inset vertical metal headboard accent and drawer pulls. Oak veneer is utilized and highlighted by a rustic burnished oak finish. The final touch that creates contrast to the bold horizontal lines are the supporting feet designed with a 45-degree angle. This study in geometric-inspired design will be a unique addition to your bedroom.",bedroom
Royal Highlands Collection,1603-1*,"Grandly styled for the traditional home is the Royal Highlands Collection. Prominent decorative scrolling adorns the headboard while heavier, carved scrolling accents the pilasters and feet of each piece in the collection. The substantial wood framing of the bed creates a distinct serpentine profile that carries into the design of the case pieces. Brown bi-cast vinyl provides complementing contrast to the rich cherry finish. Traditional cherry and birch veneers accenting furthers the elegant presentation of the Royal Highlands Collection.",bedroom
Urbanite Collection,1604-1*,"Perched atop metal legs, creating a dramatic statement of contemporary styling, the Urbanite Collection is a perfect reflection of your modern style preference. The solid acacia wood with acacia veneer is highlighted by a 3-tone gray finish that allows the variance of the natural grain to shine. The horizontal slat design as well as metal pull tab hardware lend to the clean, contemporary look of the collection.",bedroom
Caruth Collection,1605-1*,"Transitional styling paired with unique and functional accents combine to create the Caruth Collection. The gray finish over v-matched oak veneer serves as the backdrop for the headboard’s gray, button-tufted, fabric insert and contrasting drawer hardware. Sawtooth molding provides distinct accent to the top drawer fronts, mirror and bed framing. Providing additional functionality to the collection is the mounted electrical charging station with USB ports.",bedroom
Hillridge Collection,1606-1*,"Styled for the modern traditional home, the design of the Hillridge Collection evokes an air of casual sophistication in your bedroom space. Geometric molding provides a distinct contrast to the traditionally framed case goods while substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard. Providing storage space beyond the traditional case pieces are the dual drawers of the footboard and the hidden drawer located within the nightstand. The oak veneer, over pine solids, is finished in gray for a timeless look.",bedroom
Moorewood Park Collection,1704-1*,"Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the medallion and gracefully scrolled motifs that feature prominently throughout the collection. The headboard of the bed in combination with the low-profile footboard, create eye-catching drama with their bold design. Each case piece feature canted curved pilasters and legs that enhance the profile of the collection while button and bale, along with knob, hardware featured in an antiqued bronze finish lend subtle contrast.",bedroom
Moritz Collection,1706-1*,"Taking contemporary design to a new level is the Moritz Collection. Dramatically eye-catching from the distinct veneer pattern of the faux veneer to the high-gloss sheen and chrome accents, this bedroom collection is sure to give your bedroom the modern look that you so desire. The dark smoky tone of the faux veneer is lent magnificent accenting by the silver-tone of the patterned grain. The nickel finish of the elongated vertical hardware provides complementing visual contrast.",bedroom
Moritz Collection,1706LED-1*,"Moritz Collection brings the contemporary design to a new level. Dramatically eyecatching from the distinct veneer pattern of the faux veneer to the high-gloss sheen and chrome accents, this bedroom collection is sure to give your bedroom the modern look that you desire. The dark smoky tone of the faux veneer is lent magnificent accenting by the silver-tone of the patterned grain. The nickel finish of the elongated vertical hardware provides complementing visual contrast. Providing a dramatic accent of light is the LED back-lit headboard – the touch sensitive light sensor adjusts to three levels of brightness.",bedroom
Lavonia Collection,1707-1*,Transitional styling is paired with classic appointments and modern technology to create the Lavonia Collection. The eye-catching dramatic curve of the headboard creates instant appeal when taking in the design of this collection. The framing of the headboard carries over to the design of the low profile footboard and turned-foot supported recessed drawer front case pieces. Modern technology comes into play with the power strip – with USB port – charging station that is mounted to the upper back of the nightstand. A gray wire-brushed finish over oak veneers furthers the classic look of this bedroom collection.,bedroom
Lavonia Collection,1707NP-1*,"Transitional styling is paired with classic appointments and modern technology to create the Lavonia Collection. Two bed options –the first an eye-catching dramatic curved panel bed, the second a stately traditional poster bed - both creating instant appeal when taking in the design of this collection. The framing of each headboard carries over to the design of the footboard, as well as the mirrors. Turnedfoot supported case pieces feature recessed drawer fronts and knob hardware. Modern technology comes into play with the power strip – with USB port – charging station that is mounted to the upper back of the nightstand. A gray wire-brushed finish over oak veneers furthers the classic look of this bedroom collection.",bedroom
Odelia Collection,1708-1*,"Making a statement to the glamorous nature of your personal design aesthetic is the Odelia Collection. The striking silver finish of the collection serves to highlight the decorative accents that reign the design – crocodile embossed drawer fronts with polished nickel hardware, mirrored top drawer fronts with their faceted knob hardware and crystal-embellished button-tufted pearl bi-cast vinyl inserts on the headboard and foot board. The available twin, full, queen, Eastern King and California King bed options allow for perfect placement in your bedroom space.",bedroom
Odelia Collection,1708BK-1*,"Odelia Collection makes a statement to the glamorous nature of your personal design aesthetic. The striking black finish of the collection serves to highlight the decorative accents that reign the design – crocodile embossed drawer fronts with polished nickel hardware, mirrored top drawer fronts with their faceted knob hardware and crystal-embellished button-tufted pearl bi-cast vinyl inserts on the headboard and footboard. The available Twin, Full, Queen, Eastern King and California King Bed options allow for perfect placement in your bedroom space. The collection is also offered in a silver finish.",bedroom
Raku Collection,1711-1*,"Refined elegance is exemplified in the design of the Raku Collection. Classic elements of understated traditional design combined with a barnwood gray finish over oak veneer, high polish knob hardware and the light neutral tone of the fabric covered headboard and footboard, blend effortlessly to create a sophisticated modern traditional look for your bedroom. Elongated, tapered turned legs support the case pieces and bed.",bedroom
