name,number,description,category
Ellamartin Collection,1288-301,"When adding the personal touches to your living space that reflect the warmth and elegance of your home, the Ella Martin Collection is the perfect traditional table offering. Featuring a warm brown cherry finish, smoked glass, and gold tipped acanthus leaf motif.",occasional
Palace Collection,1394-30,"The Palace Collection exemplifies the best of Old World Europe. The elegant occasional table grouping features egg and dart moldings, rope twist posts and acanthus and tobacco leaf carvings and florets, the Palace Collection has it all. These many exquisite details married with a rich brown finish on cherry veneers with gold highlights to create an ideal European environment worthy of the nobles of yesteryear and the sophisticated homeowner of today. Bring Europe home with the Palace Collection.",occasional
Moorewood Park Collection,1704-30,Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the gracefully scrolled motifs that feature prominently throughout the collection. Each occasional table features canted curved pilasters and legs that enhance the profile of the collection with lower display shelves providing additional space for you to show off your decorative choices.,occasional
Liatris Collection,1744-01,The expected lines of retro design are given a bold update in the Liatris Collection. Book-match acacia veneer is highlighted with a gray finish that serves to reflect the natural highs and lows of the wood’s grain. Providing a solid support structure to the rounded tabletop of each piece are the sturdily angled legs.,occasional
Alouette Collection,17809*,"Like a window into your design world, the Alouette Collection provides a classic, yet modern platform for your living room experience. The cocktail and end table feature square tabletops with glass supports that are connected by metal hardware.",occasional
Anika Collection,1915-30N,"Drawing inspiration from Danish Mid-Century modern design, the Anika Collection is a stylish addition to your home’s living room space. The gentle curve of the table top is perfectly accentuated by the angled legs that are the signature to this classic look. Light ash finish over ash veneer is utilized to further the retro-contemporary design.",occasional
Ashden Collection,1918-30,The Ashden Collection creates visual interest with sophisticated modern traditional accents and elegant lines. A driftwood finish enhances the beautiful cathedral grain of the mindy veneer. Distinctive scallop shaping graces subtle molding of the occasional leg tables and enhances the understated elegance of the collection.,occasional
Bonaventure Park Collection,1935-30,"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered cabriole legs support the serpentine shaped tops of the occasional tables, while egg and dart molding, along with the acanthus leaf motif lend accent to the traditional look. Creating additional interest is the distinct tray-style top of the cocktail table, with inset glass providing support to your decorative accents. Burl inlay on end, and sofa tables create beautiful contrast to the gold-highlighted cherry finish of the collection.",occasional
Beaumont Collection,2111-30,Clean contemporary design is the inspiration for the Beaumont Collection. Achieving the desired design of your home will require pieces that allow for your taste to shine. Contemporary route lines give way to rounded pilasters on the occasional table legs. Cherry veneers and the high pressure laminate tops are finished in a medium brown cherry,occasional
Kasler Collection,2135-30,Understated elegance flows effortlessly through the gentle curves of the Kasler Collection. The medium walnut finish on walnut veneers is the first break with contemporary tradition that this unexpected gem makes. Further enhancing the look of the occasional group are the curves that stand out as bold statements to the profile of each tabletop.,occasional
Gladstone Collection,251-01,"These stately and oversized traditional occasional tables are finished in a rich dark cherry finish. Key design features include cabriole legs, black marble top with simulated wood components used to create the fretwork panels with the delicate floral bouquet motif.",occasional
Tempe Collection,2601-31,"With a scale appropriate for any number of cozy living rooms, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble table top and the minimalistic design of this three pack occasional group. The tables are constructed of metal with a black finish.",occasional
Marston Collection,2615DC-30*,"",occasional
Marston Collection,2615DC-30RT*,"Refined elegance is exemplified in the design of the Marston Collection. A double pedestal base rises to support the clipped-corner rectangular table top of the sofa table. The end tables of this collection are offered in two distinct shapes – rectangular and round – while the cocktail tables are offered in oval or rectangular, supported by elegant pedestal base. The dark cherry finish further compliments the classic look of the collection.",occasional
Halston Collection,2952-30,Extraordinary contemporary design is utilized in the creation of the Halston Collection. Streamlined table legs extend and intersect to support the glass tabletops in this unique occasional table offering. The espresso finish of the wood legs furthers the modern feel of the collection.,occasional
Veloce Collection,3205-30,The Chorus Collection combines appealing style with functionality. The dramatic curves of the retro cool black table bases serve as the support for the unique shaped glass tops of the Chorus Collection.,occasional
Zen Collection,3216B-31,This great contemporary three-piece occasional group features a tray top design in espresso finish. Matching sofa table is also offered in Zen collection.,occasional
Rowley Collection,3217PU,"Interactive, stylish and just plain fun, the Rowley Collection provides a multifunctional table for your living space. The hydraulic gas lift of the metal table base easily ascends with the push of a button to take the table from cocktail height to dining level. Accompanied by four storage ottomans that act as dining chairs, this versatile group is the perfect option for those looking for additional space as well as style.",occasional
Brussel Collection,3219PU-01,"Perfect for apartment and smaller living spaces, this stylish, espresso finished, contemporary occasional group features clean lines, a glass top, and wedge seating that fits perfectly under the tabletop for those who desire a streamlined look. Three cocktail table options allow for extra seating or accessory display. The seat of pie-shaped ottoman and stool is covered in dark brown bi-cast vinyl.",occasional
Daria Collection,3224N-30,"A continuous metal frame comprises the support system in the Daria Collection. Topped with a weathered wood veneered table top, with hints of gray within the finish, lending distinct character. This rustic occasional offering will be the centerpiece to your casual living space.",occasional
Schmid Collection,3226-30,"In a unique turn of design, the Schmid Collection features off-set table bases in a rich dark cherry finish that perfectly complements the cool creamy tone of the faux marble tabletops. Each base features a display shelf, providing you the extra space to show off your prized possessions.",occasional
Factory Collection,3228-30,"Blending the look of vintage industrial with modern design is the Factory Collection. Burnished rustic wood planks are framed with wrought iron style metal supports in this stylish occasional table offering. The sofa and end tables feature X-framing that draws inspiration from the bracing seen in so many industrial settings, while the reproduction factory cart takes a functional object and turns it into a piece of art. Matching bookcase is also available.",occasional
Ballwin Collection,3256RF-30,"Designed for placement in a number of living room settings, the Ballwin Collection is a functional and stylish addition to your home. The cocktail’s tabletop lifts to extend to your seated position and is supported by casters for ease of movement. Functional drawers are featured on the cocktail and end table. Providing additional tabletop space is the accompanying chairside table. A deep cherry finish over book matched veneers solidifies this versatile occasional grouping.",occasional
Carrier Collection,3257RF-30,"Designed for placement in a number of living room settings, the Carrier Collection is a functional and stylish addition to your home. The cocktail’s tabletop lifts to extend to your seated position and is supported by casters for ease of movement, the end table and chairside table feature a functional drawer. All three pieces in the collection feature lower display shelving. A dark espresso finish further lends to the look of this versatile occasional grouping.",occasional
Belvedere Collection,3276-30,"",occasional
Brussel II Collection,3292-01,"Extra seating is never a problem with the functional Brussel II Collection. The four stools, with dark brown bi-cast vinyl seat cover, tuck neatly under the cocktail table when not in use. The geometric circular design and warm brown cherry finish will be a perfect addition to any home d閏or.",occasional
Vincent Collection,3299-01,"Glass overlays the intricate acacia wood block staggered pattern of the Vincent Collection. Each intricate pattern surrounds a center contrasting block. These unique tables feature display shelves and a modern two-toned natural acacia and espresso finish, with glass insert table tops.",occasional
Firth II Collection,3401W-30*,Intersecting deep cherry finished wood ovals are set atop rounded wooden bases and serve to support beveled glass tops in the Firth II Collection. Add a touch of quality and contemporary style to your home with this sleek design which melds glass and wood into a classic contemporary design.,occasional
Cullum Collection,3427-30,"The grand scale of the Cullum Collection belies the traditionally scaled down aesthetic of contemporary design, creating a bold focal point for your living room. Constructed with acacia solid and veneer with hints of Asian modern design, the tables feature a dark espresso finish with glass inset tabletops. The horizontal lines lend to the modern feel.",occasional
Amaya Collection,3436-30,"Traditional accents are the building blocks for this elegant table offering. The Amaya Collection features book-match mahogony veneers, rope molding, routed tabletops and a warm cherry finish. Furthering the traditional design are the turned legs that rest on fluted bun feet. The low display shelf allows for the placement of your favorite items completing the elegant feel of your living room.",occasional
Orton Collection,3447-30,"",occasional
Pierre Collection,3508-30,Oval table tops are supported by elegantly curved legs in the Pierre Collection. The rich espresso finish is complemented by the glass insert table tops. Lower shelving provides a platform to display your prized possessions.,occasional
Hatchett Lake Collection,3522-30,"",occasional
Mariacarla Collection,3526-30,Blending elements of traditional design creates the classic look of the Mariacarla Collection. Genuine marble table tops perch atop acanthus leaf relief-enhanced cabriole legs in this occasional table offering. The dark cherry leg finish of the collection serves to highlight not only the traditional style but the marble as well.,occasional
Tioga Collection,3533-30,"Designed for the modern home, the Tioga Collection will provide a unique look for your living room. Brushed chrome geometric support legs provide a distinct contrast to the espresso finish of the tabletop and display shelves in this occasional grouping. Drawers provide additional storage space while the functionality of the collection is further enhanced by the lift mechanism that allows for the extension of the cocktail table’s top.",occasional
Sicily Collection,3534-30,"",occasional
Logan Collection,3547-30,"Traditional design elements have been blended to create the classic look of the Logan Collection. A warm cherry finish is utilized to beautifully accent the inset marble tabletops, while acanthus leaf accenting lends its classic appeal to the cabriole legs and table aprons.",occasional
Ridley Collection,3551-30,Industrial styling is softened by the blending of natural elements to create a stylish look in the Ridley Collection. A creamy white stone marble top is supported by the weathered wood finished base of each table – comprised of wood framing that includes display shelving with slat construction and angled supports.,occasional
Ashby Collection,3552-30,Industrial styling is softened by the blending of natural elements to create a stylish look in the Ashby Collection. A bluestone marble top is supported by the dark oak finished base of each table – comprised of framing that includes display shelving with slat construction and angled supports.,occasional
Vasily Collection,3561-31*,"Mid-century modern design provides inspiration in the Vasily Collection. Cherry finished wood legs are joined by an inner, high-polished chrome ring and rise to support the glass tops in this three-piece occasional table offering. Included are two round end tables and one oval cocktail table.",occasional
Capitan Collection,3578-30,"",occasional
Fairhope Collection,3580-31,"Metal scroll-work lends a feminine touch to the side supports of the beautiful Fairhope Collection. The display shelf metal bases of this three-piece occasional collection rise to support faux marble tops creating a timeless look. A matching sofa table, can also be served as TV stand, is featured in this collection.",occasional
Chehalis Collection,3581-30,"With a design that is inspired by the traditional look of Craftsman furniture, the Chehalis Collection features slate inlay on the table fronts, and a brown cherry finish that enhances the ash veneers of this well-appointed occasional offering. The cocktail table has a lift mechanism that allows for the extension of the tabletop towards your seated position. Drawers feature prominently allowing ample storage space for your personal affects.",occasional
Lovington Collection,3587-30,"Turned legs provide support to the tabletops and display shelves of the Lovington Collection. Modern traditional styling is achieved with a blend of classic accents – turned legs, knob hardware, espresso finish, and creative functionality – caster-supported lift-top cocktail table, end table with drawer. Each of these elements combines to create a stylish look for your home’s living room.",occasional
Orton Collection,3588-30,Creatively designed to meet the needs of your casual living room is the Orton Collection. Faux marble tabletops are complimented by a rich cherry finish that covers each of the table box-framed aprons and legs. The cocktail table features display shelf and a convenient lift tabletop that makes this functional group a welcome addition to your home.,occasional
Frolic Collection,3590-30,"Providing functional use and retro-modern styling for your home is the Frolic Collection. The design of the occasional tables allows for perfect placement within your home to accent your busy lifestyle. The brown finish combined with polished nickel knob hardware, drawer storage and a Mid-Century inspired profile, all blend effortlessly to create this stylish home collection. The collection also features home entertainment and office options.",occasional
Laszlo Collection,3593-01*,Contemporary styling lends a unique look to the d閏or of your living room in the Laszlo Collection. The three panels of the table base intersect to support glass tabletops. Chrome connections provide additional decorative touch while the brown finish presents a neutral palette that blends effortlessly in a number of environments.,occasional
Old Forge Collection,3600-31,Your rustic industrial inspired home d閏or will be perfectly accented by the Old Forge Collection. Trend-forward metal pipe-fitting structure supports pine veneer tabletops in this 3-piece occasional table offering.,occasional
Saluki Collection,3602-30,"The classic look of Mid-Century modern design will not only prove to be a stylish addition to your home, but a functional one as well. The Saluki Collection’s retro profile combined with the multi-layer design will serve as tabletop display space and artful conversation piece.",occasional
Olas Collection,3604-31,Completing the contemporary vision you seek to create in your living space is the Olas Collection. Minimalistic black metal framing is utilized as a support for glass tabletops in this modern occasional 3-piece offering.,occasional
Suisun Collection,3605-31,Subtle convex dark metal framing provides support to the glass table tops of the Suisun Collection. Matching end tables accompany the cocktail table of this modern 3-piece occasional table group.,occasional
Dogue Collection,3606-30,"The multi-purpose functionality of the Dogue Collection allows you create the perfectcombination of home entertainment, occasional and office furniture for your home. Gunmetal finish provides distinct contrast to printed gray wood grain melamine veneer in thismodern occasional collection. The available cocktail table and end table blend effortlesslywith the other pieces of this collection or provide complementing accent to the items thatalready fill your modern space.",occasional
Lhasa Collection,3607-30,Mid-Century modern design inspiration takes shape in the form of the Lhasa Collection. Ash veneer is highlighted by a warm walnut finish in this occasional table offering. The rounded tops of the cocktail table and end table are supported by angled legs that are synonymous with this cool retro-styling.,occasional
Brassica Collection,3608-01,The look of elegant look of gold and marble paired with a hint of glamour and modern styling come together to create the Brassica Collection. Printed Carrera faux white marble provides stark contrast to the geometric inspired gold-finished round metal base of this sophisticated occasional collection. The collection is also offered in a silver finish.,occasional
Brassica Collection,3608SV-01,The look of elegant look of gold and marble paired with a hint of glamour and modern styling come together to create the Brassica Collection. Printed Carrera faux white marble provides stark contrast to the geometric inspired gold-finished round metal base of this sophisticated occasional collection. The collection is also offered in a silver finish.,occasional
Paseo Collection,3612-31,"Metal, glass and wood elegantly combined to create the modern-transitional look of the Paseo Collection. The distinct pattern of the quarter-match veneer is highly visible through the glass table tops of this 3-piece occasional offering. Providing decorative contrast to the cherry finish and support to the glass tops are the metal corners.",occasional
Mehta Collection,3613-30,"Sleek contemporary styling is fully achieved in the design of the Mehta Collection. The clipped corners of the tabletops and bases are joined by canted acrylic legs while black glass is inset into the metal framed top and base of the tables, further lending to the modern look of the collection.",occasional
Akita Collection,3614-01,"The modern design that inspires your home's aesthetic will also serve to lend function to your living room's décor with the addition of the Akita Collection. Tucked neatly beneath the cocktail table are 4 stools that provide additional seating space. Each table in the collection features an inset glass accent – round on both the cocktail and end tables, oval on the sofa table – and cherry finish that highlights the distinct veneer pattern.",occasional
